Title,Choices,Total,Source,Question,Topic,Sequence Num,Select Multiple
Generation status,Total population in private households by generation status,32852320,NHS,What is your generation status?,Culture,3,
Generation status,  First generation,7217295,NHS,,,,
Generation status,  Second generation,5702725,NHS,,,,
Generation status,  Third generation or more,19932300,NHS,,,,
Religion,Total population in private households by religion,32852320,NHS,What is your religion?,Culture,2,
Religion,  Buddhist,366830,NHS,,,,
Religion,  Christian,22102745,NHS,,,,
Religion,    Anglican,1631845,NHS,,,,
Religion,    Baptist,635840,NHS,,,,
Religion,    Catholic,12810705,NHS,,,,
Religion,    Christian Orthodox,550690,NHS,,,,
Religion,    Lutheran,478185,NHS,,,,
Religion,    Pentecostal,478705,NHS,,,,
Religion,    Presbyterian,472385,NHS,,,,
Religion,    United Church,2007610,NHS,,,,
Religion,    Other Christian,3036780,NHS,,,,
Religion,  Hindu,497965,NHS,,,,
Religion,  Jewish,329495,NHS,,,,
Religion,  Muslim,1053945,NHS,,,,
Religion,  Sikh,454965,NHS,,,,
Religion,  Traditional (Aboriginal) Spirituality,64935,NHS,,,,
Religion,  Other religions,130835,NHS,,,,
Religion,  No religious affiliation,7850605,NHS,,,,
Non-official languages spoken,Total population in private households by non-official languages spoken,8165495,NHS,What non-official languages do you speak?,Culture,1,TRUE
Non-official languages spoken,  Aboriginal languages,245115,NHS,,,,
Non-official languages spoken,    Algonquin,2395,NHS,,,,
Non-official languages spoken,    Atikamekw,6205,NHS,,,,
Non-official languages spoken,    Blackfoot,4395,NHS,,,,
Non-official languages spoken,    Cree languages,96690,NHS,,,,
Non-official languages spoken,    Mi'kmaq,8930,NHS,,,,
Non-official languages spoken,    Innu/Montagnais,11450,NHS,,,,
Non-official languages spoken,    Ojibway,25160,NHS,,,,
Non-official languages spoken,    Oji-Cree,10180,NHS,,,,
Non-official languages spoken,    Carrier,2010,NHS,,,,
Non-official languages spoken,    Dene,12950,NHS,,,,
Non-official languages spoken,    Tlicho (Dogrib),2385,NHS,,,,
Non-official languages spoken,    Slavey,1815,NHS,,,,
Non-official languages spoken,    Stoney,3495,NHS,,,,
Non-official languages spoken,    Inuktitut,36945,NHS,,,,
Non-official languages spoken,    Other Aboriginal languages,23460,NHS,,,,
Non-official languages spoken,  Non-Aboriginal languages,7922260,NHS,,,,
Non-official languages spoken,    Italian,595600,NHS,,,,
Non-official languages spoken,    Portuguese,266950,NHS,,,,
Non-official languages spoken,    Romanian,97180,NHS,,,,
Non-official languages spoken,    Spanish,873395,NHS,,,,
Non-official languages spoken,    Dutch,135085,NHS,,,,
Non-official languages spoken,    Flemish,5620,NHS,,,,
Non-official languages spoken,    German,525480,NHS,,,,
Non-official languages spoken,    Yiddish,23750,NHS,,,,
